execution_number,timestamp,duration_ms,error,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
208,2026-02-16T01:19:49.502213,66.38600002042949,,,12.82429089769721,5.84500003606081,10,18.66929093375802,,20.982875023037195,9.023916907608509,10,30.006791930645704,32,,17.704500118270516,10,10000,8,2,33
209,2026-02-16T01:19:49.574210,65.3400409501046,,,14.457915909588337,5.737208994105458,10,20.195124903693795,,22.969083860516548,9.048666106536984,10,32.01774996705353,32,,13.121290830895305,10,10000,9,2,33
210,2026-02-16T01:19:49.646840,65.6397920101881,,,14.445374952629209,6.100374972447753,10,20.54574992507696,,21.820625057443976,8.709500078111887,10,30.530125135555863,32,,14.559374889358878,10,10000,10,2,33
211,2026-02-16T01:19:49.714831,61.84445787221193,,,12.840082868933678,6.463542114943266,10,19.303624983876944,,20.438416860997677,9.458958869799972,10,29.89737573079765,32,,12.638624990358949,10,10000,11,2,33
212,2026-02-16T01:19:49.802959,81.6384160425514,,,13.726375065743923,5.6448751129209995,10,19.371250178664923,,20.598709117621183,28.878250159323215,10,49.4769592769444,32,,12.787000043317676,10,10000,12,2,33
213,2026-02-16T01:19:49.872555,62.651415821164846,,,13.898791978135705,5.542916944250464,10,19.44170892238617,,21.47437515668571,8.491500047966838,10,29.965875204652548,32,,13.238874962553382,10,10000,13,2,33
214,2026-02-16T01:19:49.942971,64.1352089587599,,,14.299083035439253,5.257958080619574,10,19.557041116058826,,21.772040985524654,8.922541979700327,10,30.69458296522498,32,,13.87920812703669,10,10000,14,2,33
215,2026-02-16T01:19:50.013585,64.22945787198842,,,13.278624974191189,5.466291913762689,10,18.744916887953877,,20.535167073830962,9.580083889886737,10,30.1152509637177,32,,15.365000115707517,10,10000,15,2,33
216,2026-02-16T01:19:50.097341,77.52700010314584,,,12.856625020503998,6.375290919095278,10,19.231915939599276,,35.51637497730553,10.03345800563693,10,45.54983298294246,32,,12.738625053316355,10,10000,16,2,33
217,2026-02-16T01:19:50.170432,66.36891700327396,,,14.228833140805364,6.722416030243039,10,20.951249171048403,,22.06845791079104,8.933499921113253,10,31.001957831904292,32,,14.409583993256092,10,10000,17,2,33
218,2026-02-16T01:19:50.245416,68.09487496502697,,,16.353042097762227,5.50695788115263,10,21.859999978914857,,21.50012506172061,9.124916046857834,10,30.625041108578444,32,,15.605333959683776,10,10000,18,2,33
219,2026-02-16T01:19:50.315381,63.845957862213254,,,13.551417039707303,5.4561670403927565,10,19.00758408010006,,21.804125048220158,9.352999972179532,10,31.15712502039969,32,,13.67708295583725,10,10000,19,2,33
220,2026-02-16T01:19:50.384062,62.203999841585755,,,13.217374915257096,5.7400420773774385,10,18.957416992634535,,21.129915956407785,9.549082955345511,10,30.678998911753297,32,,12.562667019665241,10,10000,20,2,33
221,2026-02-16T01:19:50.535420,62.57804203778505,,,13.610833091661334,6.659917067736387,10,20.27075015939772,,20.170958945527673,8.536583045497537,10,28.70754199102521,32,,13.595290947705507,10,10000,1,4,33
222,2026-02-16T01:19:50.630594,82.09275011904538,,,14.17304202914238,5.522832972928882,10,19.69587500207126,,22.262041922658682,26.263417210429907,10,48.52545913308859,32,,13.866707915440202,10,10000,2,4,33
223,2026-02-16T01:19:50.706203,63.53037501685321,,,14.321333030238748,5.746791837736964,10,20.068124867975712,,21.425707964226604,8.604667149484158,10,30.03037511371076,32,,13.427959056571126,10,10000,3,4,33
224,2026-02-16T01:19:50.785718,68.198167020455,,,12.898999964818358,5.748624913394451,10,18.64762487821281,,24.09574994817376,9.741625050082803,10,33.837374998256564,32,,15.708333114162087,10,10000,4,4,33
225,2026-02-16T01:19:50.862934,64.71358402632177,,,14.243500074371696,6.204874953255057,10,20.448375027626753,,21.58625004813075,8.77358391880989,10,30.35983396694064,32,,13.901750091463327,10,10000,5,4,33
226,2026-02-16T01:19:50.939280,63.262417213991284,,,13.95766600035131,5.754832876846194,10,19.712498877197504,,21.901250118389726,8.982792031019926,10,30.88404214940965,32,,12.660708045586944,10,10000,6,4,33
