execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
46,2026-02-15T19:06:34.215589,148.97525031119585,,,True,,18.732333090156317,1.8656249158084393,2,20.597958005964756,,32.83050004392862,True,,2.712709130719304,2,35.54320917464793,,36.482375115156174,4.193041939288378,2,40.67541705444455,,18.527165986597538,2,18.527165986597538,20.572500070557,,13.05900001898408,3.4672911278903484,2,33.63150008954108,33.63150008954108,q12,12,1.0
47,2026-02-15T19:06:34.385069,145.7938770763576,,,True,,18.708334071561694,1.8032919615507126,2,20.511626033112407,,31.885166885331273,True,,3.288333071395755,2,35.17349995672703,,36.017916863784194,4.118249984458089,2,40.13616684824228,,17.974625108763576,2,17.974625108763576,19.62045906111598,,12.37750006839633,3.4036249853670597,2,31.99795912951231,31.99795912951231,q12,12,1.0
48,2026-02-15T19:06:34.558214,148.98575143888593,,,True,,18.817916978150606,1.8638339824974537,2,20.68175096064806,,32.082583056762815,True,,2.674875082448125,2,34.75745813921094,,37.004625191912055,4.108791938051581,2,41.113417129963636,,18.24829215183854,2,18.24829215183854,21.157541079446673,,13.027291977778077,3.479457926005125,2,34.18483305722475,34.18483305722475,q12,12,1.0
49,2026-02-15T19:06:34.731707,148.9969603717327,,,True,,19.491375191137195,1.865625148639083,2,21.357000339776278,,31.969083938747644,True,,3.257084172219038,2,35.22616811096668,,36.618374986574054,4.183750133961439,2,40.80212512053549,,18.571499967947602,2,18.571499967947602,20.283207995817065,,12.756958836689591,3.5242498852312565,2,33.04016683250666,33.04016683250666,q12,12,1.0
50,2026-02-15T19:06:34.905557,149.77870788425207,,,True,,18.50237511098385,1.8185828812420368,2,20.320957992225885,,32.212042016908526,True,,2.7105410117655993,2,34.922583028674126,,37.50249999575317,4.05741692520678,2,41.55991692095995,,19.052457995712757,2,19.052457995712757,20.95404197461903,,12.968749972060323,3.4802500158548355,2,33.922791946679354,33.922791946679354,q12,12,1.0
51,2026-02-15T19:06:35.199963,74.5712905190885,,,True,,9.60966688580811,1.4843330718576908,1,11.093999957665801,,10.358374798670411,True,,1.9560419023036957,1,12.314416700974107,,14.731416013091803,2.785290824249387,1,17.51670683734119,,8.787583094090223,1,8.787583094090223,13.643959071487188,,11.214624857529998,2.4350828025490046,1,24.858583929017186,24.858583929017186,q14,14,1.0
52,2026-02-15T19:06:35.296307,73.61700083129108,,,True,,10.214416775852442,1.426083967089653,1,11.640500742942095,,11.193042155355215,True,,1.9432499539107084,1,13.136292109265924,,14.777791919186711,2.756624948233366,1,17.534416867420077,,8.475332986563444,1,8.475332986563444,12.350167147815228,,10.480290977284312,2.332207979634404,1,22.83045812509954,22.83045812509954,q14,14,1.0
53,2026-02-15T19:06:35.391086,72.07562541589141,,,True,,9.829499991610646,1.3237078674137592,1,11.153207859024405,,10.547625133767724,True,,1.8746668938547373,1,12.422292027622461,,14.45833407342434,3.354041138663888,1,17.812375212088227,,8.202208206057549,1,8.202208206057549,11.555874953046441,,10.929667158052325,2.3508749436587095,1,22.485542111098766,22.485542111098766,q14,14,1.0
54,2026-02-15T19:06:35.485507,71.51750079356134,,,True,,9.009583853185177,1.4690000098198652,1,10.478583863005042,,11.165582807734609,True,,1.939541893079877,1,13.105124700814486,,13.619458070024848,2.7087500784546137,1,16.32820814847946,,8.339958032593131,1,8.339958032593131,12.762167025357485,,10.503459023311734,2.5252921041101217,1,23.26562604866922,23.26562604866922,q14,14,1.0
55,2026-02-15T19:06:35.579037,70.27358398772776,,,True,,9.089542087167501,1.422791974619031,1,10.512334061786532,,10.489374864846468,True,,1.960541121661663,1,12.449915986508131,,13.645624974742532,2.7238340117037296,1,16.36945898644626,,8.36391607299447,1,8.36391607299447,12.33854191377759,,10.239416966214776,2.345375018194318,1,22.577958879992366,22.577958879992366,q14,14,1.0
